"E1","E2","E3","E4","E5","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","Y"
2267.29905727869,2101.66307343948,2725.2772745573,1674.15087308495,-1534.53553927438,202.446891442066,859.988426139624,1207.68441017353,628.339910657061,658.242596038602,1324.57442194364,830.263297363843,810.622929062381,782.398779279009,690.1181375966,592.244408492492,1295.57178666501,688.878511708764,444.25384003877,1135.09687272082,46.3605337512423
1409.5612677489,1687.27598039434,1853.88031365169,-339.481041877148,1447.15002229496,330.233007309048,1025.72750322193,1281.76252408869,605.730187662923,646.216519379919,1515.24744881291,742.14761239036,796.607574068821,731.610777170731,714.108846684279,665.228679518806,1172.66741087881,587.159975284646,461.515248832757,1078.0944831635,46.284720006063
1882.3761181771,-277.595530963754,2420.94791580484,-552.183104360334,162.837960389329,189.048223554707,967.652286498646,1213.80044385384,577.421465817467,798.300449306033,1367.28846826244,886.766837042128,705.463524851171,529.335300612788,686.307371617892,651.176076020514,1158.07901075523,606.748384216187,320.639684906866,1096.86081271314,46.2357533405673
2389.95551507469,1921.57110273828,1861.1669944913,839.928443569073,958.49597044017,346.218016936124,964.2560286789,1295.15520539946,597.245525649004,637.109778683788,1496.25608974378,841.50835520306,702.631158676591,792.479974538283,692.527101809775,708.08433991469,1071.60488543001,659.779223060871,307.333642695786,1063.01183785663,46.3310966418306
719.416543850344,1838.25295928046,2025.31821140002,-447.140616717898,106.9897563199,276.765861455545,885.597380340528,1177.31091150682,444.523663150721,529.777554094024,1400.17130470101,731.01374278476,606.606387601535,724.749233680167,644.534648802276,730.705684752021,1090.42893114049,653.321514943419,396.123417837912,1025.7265274223,46.2685893110823
-126.190048329033,3903.83723565633,2324.27699904996,740.475638114425,-355.675315567088,189.367061494092,1013.23270499859,1149.51982733159,585.745786149003,604.322161554989,1386.48394767356,757.895130394159,782.266352608387,715.410853026243,670.784466266389,764.217193535154,1228.36024133212,615.68809769226,546.552940246416,1124.26825202762,46.2424631033244
2503.17636911017,939.754851741727,2981.68517993795,918.214637100135,-1908.61978866023,328.026356868533,942.169258787994,1050.43654687341,398.040911340802,647.207330687739,1142.01790085069,804.671903528646,631.909537710298,816.53913818755,607.557800656976,777.666312579718,1220.08907584058,498.9336711,478.22947645931,1203.46813525251,46.1770663276934
1876.45262423549,2216.49263272542,1442.68403417287,1057.52321305149,2452.1889720844,164.792709422962,896.375446371682,1068.96615563802,491.514993774927,706.55019218657,1458.94277608393,679.011367102601,623.176101993118,699.857943467398,708.412302508424,545.406181509966,1094.83715869795,699.170049282501,275.420412039726,1175.37920642942,46.3255378929794
1122.80075253198,3615.59769420367,1963.73286049882,-231.844990707737,985.897799532574,146.567984076063,785.349436039839,1095.33301544065,430.736464632422,658.17778672337,1423.12090378625,618.521727981837,734.054283668849,724.290861588054,735.262348776173,632.022460540996,1160.42630303792,645.724181173023,409.092778353587,1135.72047868222,46.1416749050732
2328.99315383984,895.849572751029,1960.48214970082,-965.501946121635,-599.609713385874,358.000795111847,839.043319050571,1285.4438795111,560.100868499163,627.294697958233,1362.61721916975,768.171584661686,814.515066234192,701.802175365255,618.116388958936,637.840609951714,1053.82250030281,510.979891382579,314.434617554152,1049.63194181346,46.2013109683372
1144.90495037382,1085.01945376831,4725.72736403507,1378.63705184295,-479.807077606226,305.159978723365,878.226518550962,1218.10522157507,659.436548585043,531.596809425013,1381.22228619105,626.27496303613,530.479674980668,562.894629541475,743.976438683965,643.839504447003,1132.42089132778,583.28150782381,343.500039071442,1094.70027341388,46.565923771658
2628.4132622062,2196.62906045118,2414.29292166603,-366.842801844822,-246.64748902181,326.350333318249,965.618944269109,1129.34992319632,272.776804983743,564.303809540492,1343.53502743103,768.150430455837,667.260030750521,742.042537812277,485.373044708053,654.766790841677,1102.5792772783,627.461764699318,371.15028589694,1100.57448430664,46.18471297244
2027.05843811442,1462.78615391924,1810.74008834697,-209.448063667115,-455.028427336542,187.240077437743,1024.66346677939,1144.69358745252,493.334012055446,627.590247967072,1443.64848938597,732.422850042048,586.211126984048,729.233199626619,648.89556213503,715.670490317215,1140.50728964072,598.162513239549,356.592324154374,1139.22909832665,46.1531792239536
2713.89136659362,1598.92548880695,2269.2171060636,740.112087323871,-1272.11789139949,290.691765345243,897.586943902515,1153.71521916507,447.431771947131,598.122471886373,1440.68393486952,687.788361450069,751.472389406313,700.708582183918,625.284331160067,642.870892460559,1105.28173412902,528.372744445619,274.626598318333,992.28699072338,46.2908492055769
4082.21857559622,1678.15517445082,1727.19489876653,-273.634689680537,-540.86898365243,226.029612314108,882.457971227364,1097.82909930239,415.398865940711,564.490046703408,1297.75915608374,769.162842183646,674.029428661764,575.390937568235,642.240253768467,656.82357171237,1057.87435003948,560.910837908819,359.564391916454,1106.17380826642,46.1488134264002
4279.08442213308,1454.10604008222,1854.36850353721,-181.818953607468,2064.82669730787,326.423809832788,801.862008678633,1146.64946776695,624.334455799279,753.427798274124,1380.69398875158,707.600325557808,774.513603270098,678.334414651904,716.539688725341,749.524158756674,1133.06476334941,619.422996421704,272.112556875764,960.670386862764,46.2566787426434
3330.46991256984,1207.03960471042,2721.94934349864,1452.77455570429,-1087.18750444925,394.392323640691,868.353677395538,1278.19172989972,546.717244701323,678.300119962393,1356.56126681152,763.030743578573,724.096559916541,714.550672129802,667.824900953773,697.658938842545,961.646831874237,746.692394029461,573.797095814342,947.822543259402,46.4745859771769
4583.99521580697,1610.76487991905,4026.24083479219,-422.760396057921,1105.90900391625,253.51604735296,1067.23773643064,1278.22731545999,509.139568186865,592.330314654911,1348.95052835638,654.398647584616,613.311966197696,698.759060540694,667.044458816612,610.379976586695,1211.31488377152,496.306815526009,360.258756392576,1068.26353516943,46.2962345339648
793.207021408462,3569.76032511126,2772.11446442481,566.457960757147,762.74894350019,302.738763615946,932.232056443329,1217.743829126,466.879984416254,567.534012534648,1412.76395374517,666.718953848134,685.011209514917,710.506175692688,546.431073091745,730.626810120381,1135.14855977914,537.855326629092,440.418963714061,1229.53862823169,46.2035895689153
2883.91617858134,612.615608053886,2068.68443952819,-487.226997136978,1144.93823132107,173.419300087808,979.039113935023,1188.06628805424,518.837033374286,649.780862516386,1406.46528383622,697.271146360914,592.054290309555,780.462064238731,605.531644926001,685.909311530842,1117.35378275633,534.670414507956,439.22649465895,1069.83765093492,46.1604100752875
2496.44239671292,219.47824948896,2380.26852629915,932.914919995645,608.465134527882,356.471707012482,759.135410732938,1199.31056757604,571.797895944999,650.360097073044,1307.04954649071,652.234512971885,612.504812862705,685.572610457144,612.462155320458,708.949218535144,1261.04052786945,535.273973187743,325.414462182115,1047.51076191524,46.2241568612172
